city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"Billings, MT",MT,Billings,10,32.4,1,0,0,0.2,0.1,88414.048780487821,201112926.82926831,149734390.24390244,51378536.585365862,41,2017,11.310419710364977,2274.6716116189455,2,2,3,Medium_Budget,Medium_Shootings,Small,High_Rate,None_Unarmed,Low_Minority,Some_Mental
"Tacoma, WA",WA,Tacoma,11,40.727272727272727,0.90909090909090906,0.36363636363636365,0,0.090909090909090912,0,183543.14634146343,341288780.48780495,272908536.58536577,68379999.999999985,41,2017,5.9931412418612542,1859.4471506599966,2,3,3,Medium_Budget,Many_Shootings,Small,High_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Las Cruces, NM",NM,Las Cruces,12,37.083333333333336,0.91666666666666663,0.66666666666666663,0,0.41666666666666669,0.25,72124.1951219512,265905853.65853661,214725609.75609758,51177560.975609764,41,2017,16.6379673003072,3686.7774151091694,3,3,3,High_Budget,Many_Shootings,Small,High_Rate,None_Unarmed,High_Minority,Frequent_Mental
"Stockton, CA",CA,Stockton,13,37.54545454545454,1,0.30769230769230771,0,0.076923076923076927,0.076923076923076927,228962.14634146343,392505609.75609744,310342682.92682928,82162926.829268292,41,2017,5.67779443358834,1714.2816663272056,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Spokane, WA",WA,Spokane,13,41.153846153846146,1,0.076923076923076927,0.15384615384615385,0.38461538461538464,0.38461538461538464,191005.51219512193,257682682.92682934,194537073.17073169,63145365.853658527,41,2017,6.8060863011742994,1349.0850602447183,2,3,3,Medium_Budget,Many_Shootings,Small,High_Rate,Many_Unarmed,Low_Minority,Frequent_Mental
"Salt Lake City, UT",UT,Salt Lake City,14,34.785714285714285,1,0.35714285714285715,0.071428571428571425,0.14285714285714285,0.5714285714285714,175419.78048780485,356252682.92682916,296866585.36585361,59343414.634146348,41,2017,7.9808559565340911,2030.8581046913109,2,3,3,Medium_Budget,Many_Shootings,Small,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Aurora, CO",CO,Aurora,15,32.53846153846154,1,0.4,0.066666666666666666,0,0.2,253240.58536585365,307726829.26829261,242772926.82926828,64953902.439024396,41,2017,5.9232211844439071,1215.1560494291361,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Rare_Mental
"Colorado Springs, CO",CO,Colorado Springs,16,35,1,0.4375,0,0.0625,0.125,328000.46341463417,261595853.65853658,203752195.12195122,57843658.536585361,41,2017,4.8780418885487888,797.54720751063769,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Long Beach, CA",CA,Long Beach,18,30.25,0.83333333333333337,0.5,0.1111111111111111,0.1111111111111111,0.055555555555555552,432304.17073170724,536722439.0243901,409562439.02439028,127157804.87804878,41,2017,4.1637349853769976,1241.5388871126252,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Fresno, CA",CA,Fresno,19,37.529411764705884,0.94736842105263153,0.57894736842105265,0.15789473684210525,0.42105263157894735,0.52631578947368418,383256.09756097553,346708048.78048778,260955853.65853658,85590487.804878056,41,2017,4.9575206033028936,904.63805008432257,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Many_Unarmed,Medium_Minority,Frequent_Mental
"Orlando, FL",FL,Orlando,21,33.523809523809526,0.90476190476190477,0.76190476190476186,0.19047619047619047,0.23809523809523808,0.095238095238095233,187420.53658536586,588044878.04878044,435834146.34146339,152210975.60975611,41,2017,11.204748627125486,3137.5690666691648,3,3,3,High_Budget,Many_Shootings,Small,High_Rate,Many_Unarmed,High_Minority,Some_Mental
"Mesa, AZ",AZ,Mesa,22,37.090909090909086,0.95454545454545459,0.36363636363636365,0.045454545454545456,0.27272727272727271,0.090909090909090912,329422.87804878043,341143170.73170733,311188536.58536589,29953902.439024385,41,2017,6.6783461216504438,1035.5782596289241,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Atlanta, GA",GA,Atlanta,22,28.300000000000004,0.90909090909090906,0.90909090909090906,0.13636363636363635,0.13636363636363635,0.090909090909090912,419796.26829268294,413206341.46341467,351426097.56097549,61724878.048780486,41,2017,5.2406373428411586,984.30208335088446,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,High_Minority,Some_Mental
"Bakersfield, CA",CA,Bakersfield,22,34.227272727272727,0.95454545454545459,0.72727272727272729,0.18181818181818182,0,0,228780.41463414635,340245365.8536585,227663658.53658536,112118048.78048784,41,2017,9.61620776637775,1487.2136952709045,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,Many_Unarmed,High_Minority,Rare_Mental
"Louisville, KY",KY,Louisville,23,36.499999999999993,0.95652173913043481,0.47826086956521741,0.043478260869565216,0.043478260869565216,0.43478260869565216,446273.00000000006,288225365.8536585,231674634.14634144,56550487.804878056,41,2017,5.1537959948282772,645.84988528021745,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Rare_Mental
"Tulsa, OK",OK,Tulsa,26,41.750000000000014,0.96153846153846156,0.26923076923076922,0.076923076923076927,0.23076923076923078,0.15384615384615385,380192.26829268294,240318780.48780486,221379999.99999997,18937804.878048792,41,2017,6.8386451194174338,632.09802126433715,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Low_Minority,Some_Mental
"Austin, TX",TX,Austin,27,34.111111111111114,0.85185185185185186,0.44444444444444442,0.07407407407407407,0.44444444444444442,0.14814814814814814,601217.43902439019,284602926.82926822,242108292.68292686,42495121.951219521,41,2017,4.4908876967729912,473.37769724560906,1,3,3,Low_Budget,Many_Shootings,Large,High_Rate,Some_Unarmed,Medium_Minority,Frequent_Mental
"Kansas City, MO",MO,Kansas City,29,32.962962962962962,0.96551724137931039,0.55172413793103448,0.034482758620689655,0.068965517241379309,0,449044.07317073183,406715853.65853667,381410487.804878,25306341.463414632,41,2017,6.4581634037008788,905.737048897422,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Rare_Mental
"Tucson, AZ",AZ,Tucson,29,35.892857142857139,0.96551724137931039,0.48275862068965519,0.10344827586206896,0.20689655172413793,0.034482758620689655,446655.1707317073,350588536.58536589,248124878.0487805,102465121.95121951,41,2017,6.4927044172560242,784.9199103886657,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Jacksonville, FL",FL,Jacksonville,30,31.200000000000003,0.96666666666666667,0.6,0.066666666666666666,0.23333333333333334,0.066666666666666666,735602.60975609766,258120243.902439,243718292.68292677,14386097.560975613,41,2017,4.0782889568522664,350.89631341577677,1,3,3,Low_Budget,Many_Shootings,Large,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
